input1,input1.1,input1.2,input1.3,input1.4,output1_delay4sec,output2_delay4sec,output3_delay4sec,output4_delay4sec,output5_delay4sec,output6_delay4sec,output7_delay4sec
42.2327,15.1504,700.125,1.00661,-15.61595,1413.1,14.713,19.778,72.044,182.66,740.92,613.35
41.84964,15.17229,700.125,1.01231,-15.40447,1406.0,14.707,19.657,73.98,182.82,736.43,609.69
41.57685,14.72149,700.125,1.010685,-15.19836,1728.0,14.745,19.18,104.22,179.96,729.96,604.87
41.09805,14.80267,700.125,1.00336,-15.00635,1414.8,14.7,19.258,79.822,181.85,727.37,602.28
40.97427,14.62563,700.125,1.006905,-14.87393,1509.8,14.711,18.96,92.621,181.79,721.55,597.72
40.92862,14.69398,700.125,1.009405,-14.86813,2027.5,14.751,18.47,137.83,176.38,715.19,593.22
40.87785,14.71674,700.125,1.008145,-14.86839,1756.6,14.734,18.509,119.92,178.14,713.33,591.43
40.91447,14.80198,700.125,1.012655,-14.86839,1598.8,14.718,18.594,106.07,179.43,714.11,591.83
40.90462,14.73046,700.125,1.010895,-14.86839,1674.4,14.727,18.526,112.95,178.82,713.67,591.57
40.94057,14.71406,700.12485,0.998695,-14.86838,1431.5,14.69,18.735,89.378,180.83,715.38,592.58
40.86704,14.71545,699.81685,1.00803,-14.85202,1517.8,14.706,18.645,98.286,180.27,714.63,592.11
40.87721,14.37286,696.12155,1.014555,-14.6508,2499.6,14.754,18.208,173.99,172.69,710.76,590.11
40.91451,13.96029,692.23019,1.009455,-14.44889,1682.7,14.727,18.516,113.88,178.55,713.32,591.31
40.8525,13.6816,688.40301,1.00951,-14.25743,1364.6,14.669,18.677,85.781,181.15,710.88,588.94
40.91509,13.26575,684.42532,1.00874,-14.06163,1629.1,14.709,18.417,116.27,177.13,704.67,584.55
41.29265,12.67624,680.26975,1.01333,-13.84875,1641.0,14.705,18.318,121.31,176.02,700.41,581.23
41.23095,12.54598,676.16985,1.016955,-13.6549,1702.4,14.706,18.223,131.86,174.35,695.7,577.62
41.15133,12.33676,672.66003,1.012855,-13.4499,1484.4,14.664,18.449,114.12,174.04,692.55,574.99
41.2938,11.67158,668.32932,1.00346,-13.24703,1343.8,14.627,18.513,103.29,172.99,689.79,572.65
41.33213,11.32577,664.16949,1.011585,-13.05133,1535.1,14.66,18.283,130.33,169.56,684.21,568.48
41.27152,10.98382,660.5403,1.01323,-12.84368,2161.1,14.718,17.858,198.41,164.05,676.09,562.18
41.29312,10.61769,656.53132,1.01307,-12.64953,1631.5,14.661,18.081,156.21,166.07,674.42,560.56
41.24906,10.21962,652.56501,1.00791,-12.44881,1570.2,14.642,18.025,157.61,164.87,670.3,557.09
41.58194,9.89073,648.38253,1.017705,-12.23986,1593.9,14.639,17.944,169.07,162.9,665.9,553.4
41.64116,9.46451,644.25226,1.021055,-12.02936,1889.0,14.675,17.641,213.49,159.74,659.53,547.99
41.62716,9.1198,640.37617,1.012715,-11.84094,1427.9,14.587,18.107,168.93,158.1,658.88,547.41
41.56555,8.80583,636.31833,1.006795,-11.64165,1314.2,14.548,18.164,169.22,156.27,655.28,544.26
41.68426,8.18263,632.3844,1.01598,-11.43649,1679.0,14.621,17.776,221.98,153.22,648.3,538.21
41.61829,7.622,628.18316,1.01896,-11.23535,2032.8,14.664,17.456,277.17,150.22,641.82,532.86
41.57553,7.56182,624.11096,1.010815,-11.02222,1569.6,14.582,17.705,233.28,150.61,639.92,530.83
41.72976,6.8699,620.22997,1.0111,-10.81895,1464.0,14.548,17.634,234.82,150.39,635.77,527.17
41.65539,6.52644,616.17111,1.017035,-10.61979,1844.8,14.617,17.316,298.12,146.72,629.04,522.21
42.07081,6.09395,612.59876,1.017435,-10.42779,1850.9,14.609,17.224,314.69,145.93,623.99,518.43
42.00741,5.84215,608.71224,1.01512,-10.23005,1595.7,14.551,17.31,293.87,145.58,621.58,515.95
42.08843,5.26498,604.19737,1.01727,-10.02883,1595.9,14.542,17.416,308.44,142.7,618.06,513.28
42.01169,5.06357,600.5392,1.0148,-9.81642,1712.5,14.559,17.213,338.55,141.64,613.05,509.97
41.96183,4.85352,596.53132,1.018515,-9.61712,1638.7,14.533,17.109,345.49,141.32,608.93,506.94
41.93442,4.5121,592.36253,1.011495,-9.41021,1763.5,14.551,16.892,379.07,140.37,603.78,503.83
