in1,in2,in3,in4,in5,in6,in7,in8,out1,out2,out3,out4,out5,out6,out7,out8,,,,,,,,
22.741,-18.893,75.728,69.203,258.73,87.064,0.42084,10.259,5.26E+05,674.31,724.71,456.06,136.13,14.282,3415.3,25.207,,,,,,,,
22.648,-18.495,8.388,66.494,259.1,86.695,0.42316,10.275,4.83E+05,669.12,720.12,440.2,138.1,14.261,3403.7,25.001,,,,,,,,
22.542,-18.373,80.197,64.701,259.45,86.611,0.42401,10.242,4.72E+05,668.24,718.26,428.7,149.27,14.281,3642.5,24.405,,,,,,,,
22.448,-18.016,78.403,61.956,259.77,86.339,0.43118,10.302,4.38E+05,662.85,715.54,424.29,137.53,14.228,3313.5,24.686,,,,,,,,
22.349,-17.669,77.305,61.178,260.17,85.988,0.43225,10.272,4.10E+05,658.88,711.5,406.79,151.27,14.243,3570.1,24.01,,,,,,,,
22.254,-17.264,63.079,56.171,260.79,85.525,0.43711,10.221,3.79E+05,655.44,707.63,383.25,171.06,14.27,3969.7,22.923,,,,,,,,
22.152,-17.018,75.862,53.855,261.18,85.36,0.43979,10.253,3.53E+05,651.5,704.27,380.81,167.47,14.242,3820.5,22.961,,,,,,,,
22.055,-16.62,7.616,52.839,261.56,85.147,0.4407,10.208,3.21E+05,646.93,699.24,363.46,192.9,14.262,4225.7,22.041,,,,,,,,
21.955,-16.267,73.147,48.674,261.9,84.882,0.44521,10.199,2.92E+05,642.79,695.51,351.35,204.24,14.26,4365.2,21.505,,,,,,,,
21.859,-16.123,71.181,47.877,262.28,84.578,0.44653,10.251,2.94E+05,640.82,695.46,351.42,186.21,14.221,4006.2,22.059,,,,,,,,
21.763,-15.762,57.767,44.549,262.68,84.421,0.45105,10.208,2.68E+05,637.71,692.4,333.61,208.82,14.243,4377.9,21.133,,,,,,,,
21.662,-15.386,72.885,41.136,263.08,84.039,0.45344,10.194,2.34E+05,632.16,686.4,325.28,227.83,14.242,4589.2,20.558,,,,,,,,
21.564,-15.015,6.954,3.87,263.6,83.793,0.45826,10.237,2.14E+05,627.39,682.85,319.97,222.11,14.205,4324.9,20.608,,,,,,,,
21.476,-14.768,67.359,3.591,263.97,83.74,0.46026,10.209,1.96E+05,624.8,679.92,310.34,240.82,14.217,4593.7,20.003,,,,,,,,
21.366,-14.393,65.633,33.694,264.32,83.396,0.46245,10.205,1.79E+05,620.31,676.01,300.8,254.21,14.21,4700.3,19.657,,,,,,,,
