in1,in2,in3,in4,out1,out2,,,
-29.565,39.022,3000,599.75,2509.3,1965.1,,,
-29.951,39.107,3000,597.96,2490.8,1961.2,,,
-30.395,39.369,3000,596.43,2469.8,1956.1,,,
-31.525,40.144,3000,601.36,2438.2,1931,,,
-32.326,40.595,3000,599.29,2403.6,1915.1,,,
-32.597,40.447,3000,599.19,2395.7,1908.1,,,
-32.754,41.302,3000,595.59,2375.8,1909.7,,,
-33.478,41.359,3000,597.11,2355.9,1888.5,,,
-33.983,41.747,3000,594.24,2330.3,1878.5,,,
-34.652,42.578,3000,597.47,2311.3,1857.3,,,
-34.436,43.01,3000,598.41,2317.3,1863,,,
-34.778,42.883,3000,598.51,2307.7,1853.2,,,
-35.209,42.677,3000,602.67,2305.6,1836.9,,,
-35.392,42.739,3000,601.5,2296.6,1833.3,,,
-35.397,42.681,3000,598.95,2290.8,1835.5,,,
-35.121,42.851,3000,598.5,2297.2,1843.7,,,
-35.376,42.632,3000,598.82,2291.5,1836.1,,,
-35.573,42.817,3000,599.26,2285.2,1830.7,,,
-35.155,42.853,3000,602.04,2304.5,1839.3,,,
-35.526,42.686,3000,603.25,2297,1828.1,,,
-35.488,42.648,3000,599.2,2288.8,1832.8,,,
-35.417,42.685,3000,598.81,2289.8,1835.1,,,
-35.343,42.704,3000,598.48,2291.3,1837.4,,,
-35.419,42.448,3000,601.2,2297.1,1832.4,,,
-35.189,42.455,3000.1,605.02,2313.3,1834.9,,,
-33.925,39.809,2999.9,612.66,2390,1856.6,,,
